"country","countrycode","category","totalviews","totallikes","totaldislikes","reccount"
FRANCE,FR,Education,120742556,8302644,201359,769
FRANCE,FR,Pets & Animals,43339241,1335449,44591,237
FRANCE,FR,Science & Technology,461992294,18513625,511858,802
FRANCE,FR,None,59490136,5987384,1231113,114
FRANCE,FR,Trailers,12940,192,9,2
FRANCE,FR,Sports,1996811039,43964560,2145956,4342
FRANCE,FR,Music,5026447522,277314234,9772318,3946
FRANCE,FR,People & Blogs,1280843533,28927705,1760711,5719
FRANCE,FR,Entertainment,3779500229,118243560,10351578,9819
FRANCE,FR,News & Politics,495045563,9301486,775868,3752
FRANCE,FR,Howto & Style,468344413,15519633,643543,2361
FRANCE,FR,Travel & Events,9749080,871774,10980,119
FRANCE,FR,Shows,51823901,291212,103846,99
FRANCE,FR,Movies,1028214,24295,1048,11
FRANCE,FR,Autos & Vehicles,43764940,1606767,52260,673
FRANCE,FR,Gaming,447160176,22502704,1097458,1459
FRANCE,FR,Film & Animation,918517018,24631422,1092744,2157
FRANCE,FR,Comedy,1896284649,130805444,3391288,4343
GREAT BRITAIN,GB,Education,444290557,17567394,593153,457
USA,US,Sports,4404456673,98621211,5133551,2174
USA,US,Music,40132892190,1416838584,51179008,6472
USA,US,People & Blogs,4917191726,186615999,10187901,3210
USA,US,Entertainment,20604388195,530516491,42987663,9964
USA,US,News & Politics,1473765704,18151033,4180049,2487
USA,US,Howto & Style,4078545064,162880075,5473899,4146
USA,US,Travel & Events,343557084,4836246,340427,402
USA,US,Shows,51501058,1082639,24508,57
USA,US,Nonprofits & Activism,168941392,14815646,3310381,57
USA,US,Autos & Vehicles,520690717,4245656,243010,384
USA,US,Gaming,2141218625,69038284,9184466,817
USA,US,Film & Animation,7284156721,165997476,6075148,2345
USA,US,Comedy,5117426208,216346746,7230391,3457
USA,US,Education,1180629990,49257772,1351972,1656
USA,US,Pets & Animals,764651989,19370702,527379,920
USA,US,Science & Technology,3487756816,82532638,4548402,2401
INDIA,IN,Education,145533791,7471726,246667,1227
INDIA,IN,Pets & Animals,4879743,362534,6488,3
INDIA,IN,Science & Technology,477111016,21395585,913603,552
INDIA,IN,None,6615156,218112,8730,105
INDIA,IN,Sports,1379949159,32969986,1316379,731
INDIA,IN,Music,10150844485,254328536,15030992,3858
INDIA,IN,People & Blogs,1364104242,23194729,1728388,2624
INDIA,IN,Entertainment,16120390974,396146637,27428929,16712
INDIA,IN,News & Politics,1994263812,15545971,2737604,5241
INDIA,IN,Howto & Style,737343593,7889210,859807,845
INDIA,IN,Travel & Events,1374342,16939,616,8
INDIA,IN,Shows,139581891,787516,226268,205
INDIA,IN,Movies,49040020,662651,34182,16
INDIA,IN,Autos & Vehicles,30384725,539571,22284,72
INDIA,IN,Gaming,274722506,6707728,341616,66
INDIA,IN,Comedy,2887672070,174114686,6976508,3429
INDIA,IN,Film & Animation,3847149504,69241553,4315081,1658
GREAT BRITAIN,GB,Pets & Animals,541320573,15288374,366060,534
GREAT BRITAIN,GB,Science & Technology,1641388256,31873124,1623049,518
GREAT BRITAIN,GB,None,352798262,24452616,5436854,90
GREAT BRITAIN,GB,Sports,3341736194,74888487,9914555,1907
GREAT BRITAIN,GB,Music,171160864769,3742993052,159370236,13754
GREAT BRITAIN,GB,People & Blogs,5754287829,135396249,12002570,2926
GREAT BRITAIN,GB,Entertainment,29786283041,744266231,88106151,9124
GREAT BRITAIN,GB,News & Politics,1409131375,30651565,3780349,1225
GREAT BRITAIN,GB,Howto & Style,1190155227,51360345,1607193,1928
GREAT BRITAIN,GB,Travel & Events,132784993,928747,34715,96
GREAT BRITAIN,GB,Shows,28583283,836738,6396,20
GREAT BRITAIN,GB,Autos & Vehicles,214184514,3543625,281190,144
GREAT BRITAIN,GB,Gaming,1746619532,70125588,2304458,1788
GREAT BRITAIN,GB,Film & Animation,8362707626,147418633,6192934,2577
GREAT BRITAIN,GB,Comedy,3962062143,143372176,4630521,1828
CANADA,CA,Education,531773343,20972402,793448,991
CANADA,CA,Pets & Animals,235592173,8830736,185003,369
CANADA,CA,Science & Technology,1425090421,42814598,1791153,1155
CANADA,CA,None,115601623,10242613,2325807,74
CANADA,CA,Sports,2997652188,59449419,3286369,2787
CANADA,CA,Music,13179850194,564447530,22098190,3731
CANADA,CA,People & Blogs,3228227926,105388564,9480796,4105
CANADA,CA,Entertainment,13670897035,387243576,25789133,13450
CANADA,CA,News & Politics,1614610043,32705054,3264041,4159
CANADA,CA,Howto & Style,1570846611,51183104,1730520,2007
CANADA,CA,Travel & Events,143746952,3750914,129861,392
CANADA,CA,Shows,71549508,589263,120436,124
CANADA,CA,Movies,17120490,252905,12280,6
CANADA,CA,Autos & Vehicles,200066074,4732114,197776,353
CANADA,CA,Gaming,1241532385,51726552,2446882,1344
CANADA,CA,Film & Animation,2939060844,77802003,3111259,2060
CANADA,CA,Comedy,3708438785,196046674,5372515,3773
GERMANY,DE,Education,143868522,7516778,234168,844
GERMANY,DE,Pets & Animals,92098930,3351052,81919,251
GERMANY,DE,Science & Technology,572461153,15372868,737165,806
GERMANY,DE,None,159162128,14600953,4006492,256
GERMANY,DE,Trailers,8804,0,0,1
GERMANY,DE,Sports,1938192278,37646423,2153755,2752
GERMANY,DE,Music,5683870646,300297066,12985188,2372
GERMANY,DE,People & Blogs,2193613268,60920058,4544157,5988
GERMANY,DE,Entertainment,8102638694,267752272,22485534,15292
GERMANY,DE,News & Politics,845937888,14391904,2369587,2935
GERMANY,DE,Howto & Style,589323375,15101881,739287,1745
GERMANY,DE,Travel & Events,19213672,887036,30503,141
GERMANY,DE,Shows,50844117,378819,98783,107
GERMANY,DE,Movies,3071004,63834,2594,2
GERMANY,DE,Autos & Vehicles,182112183,6143363,182704,873
GERMANY,DE,Gaming,669356053,28868280,1984458,1565
GERMANY,DE,Film & Animation,1757184336,45315546,1864876,2376
GERMANY,DE,Comedy,1642158154,74787405,2557861,2534
